,team,playerid,name,assists,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,round,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,GW,fdr
2262,11,219,David_Silva_219,1,0,65.8,1,0,13.1,28.6,90,2,22,0,6.0,1.0,37.0,5,74,False,0,22,2.0
2263,12,225,Victor_Lindelöf_225,0,1,1.2,0,0,1.4,12.6,90,14,22,0,0.0,4.0,0.0,6,53,True,0,22,1.0
2264,12,233,Marcus_Rashford_233,0,0,9.4,0,2,16.0,73.2,58,14,22,0,0.0,4.0,77.0,12,92,True,0,22,1.0
2265,12,234,Mason_Greenwood_234,0,0,2.4,0,1,5.1,36.0,19,14,22,0,0.0,4.0,13.0,5,43,True,0,22,1.0
2266,12,235,David_de Gea_235,0,1,0.0,0,0,1.8,18.0,90,14,22,3,0.0,4.0,0.0,7,54,True,0,22,1.0
2267,12,239,Anthony_Martial_239,0,1,3.6,0,1,10.9,36.8,79,14,22,0,0.0,4.0,69.0,8,79,True,0,22,1.0
2268,13,254,Federico_Fernández_254,0,0,1.5,1,0,2.1,19.6,90,20,22,0,1.0,1.0,0.0,2,44,False,0,22,3.0
2269,13,262,Martin_Dubravka_262,0,0,0.0,1,0,2.0,19.8,90,20,22,2,1.0,1.0,0.0,2,50,False,0,22,3.0
2270,9,265,Ayoze_Pérez_265,0,0,5.0,1,0,1.0,4.6,66,16,22,0,2.0,1.0,0.0,2,60,True,0,22,3.0
2271,13,266,Miguel_Almirón_266,0,0,4.6,1,1,8.0,47.4,90,20,22,0,1.0,1.0,28.0,8,58,False,1,22,3.0
2272,13,269,Jonjo_Shelvey_269,0,0,0.0,0,0,0.0,0.0,0,20,22,0,1.0,1.0,0.0,0,51,False,0,22,3.0
2273,14,278,Teemu_Pukki_278,0,0,0.0,0,0,0.0,0.0,0,12,22,0,0.0,4.0,0.0,0,65,False,0,22,4.0
2274,14,280,Tim_Krul_280,0,0,0.0,4,0,0.8,8.2,90,12,22,2,0.0,4.0,0.0,0,45,False,0,22,4.0
2275,14,287,Todd_Cantwell_287,0,0,8.4,4,0,5.1,13.8,90,12,22,0,0.0,4.0,29.0,2,49,False,0,22,4.0
2276,15,291,Enda_Stevens_291,0,1,18.0,0,0,3.5,15.4,90,19,22,0,0.0,1.0,2.0,8,51,True,0,22,2.0
2277,15,293,Jack_O'Connell_293,0,1,1.2,0,0,0.9,7.4,90,19,22,0,0.0,1.0,0.0,6,46,True,0,22,2.0
2278,15,294,George_Baldock_294,0,1,20.4,0,0,5.9,18.2,90,19,22,0,0.0,1.0,20.0,6,50,True,0,22,2.0
2279,15,295,John_Egan_295,0,1,0.3,0,0,0.6,0.0,90,19,22,0,0.0,1.0,7.0,6,45,True,0,22,2.0
